Family;Status;Part number;Temperature;Supply current;Supply current hover;Supply voltage;Supply voltage hover;Technology;Motion;Processing;Sensitive axis;Sensitive axis hover;Stray field;Package;Trim&Form;Output;Output hover;Magnetic field;Magnet TC;AEC-Q100;ASIL;Extra;Extra hover;Product page;Datasheet
Mainstream;production;MLX90316KGO-BCG-300;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;PWM;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316EDC-BDG-100;-40 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KDC-BDG-100;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LDC-BDG-100;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316EGO-BDG-100;-40 to 85;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KGO-BDG-100;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LGO-BDG-100;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LGO-BDG-102;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL|AGC 75%;AGC: Automatic Gain Control ADC Target;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LDC-BDG-102;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL|AGC 75%;AGC: Automatic Gain Control ADC Target;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LDC-BCS-000;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90333SDC-BCH-000;-20 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EDC-BCH-000;-40 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EDC-BCH-100;-40 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EDC-BCT-000;-40 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KDC-BCH-000;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KDC-BCH-100;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KDC-BCT-000;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LDC-BCH-000;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LDC-BCH-100;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LDC-BCT-000;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;SOIC-8;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EGO-BCH-000;-40 to 85;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EGO-BCH-100;-40 to 85;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333EGO-BCT-000;-40 to 85;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KGO-BCH-000;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KGO-BCH-100;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333KGO-BCT-000;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LGO-BCH-000;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LGO-BCH-100;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;SPI;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90333LGO-BCT-000;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;Off-axis|Joystick|Linear;Angle|FieldComponent;XYZ;;;TSSOP-16;;Analog|PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90333;https://media.melexis.com/-/media/files/documents/datasheets/MLX90333-datasheet-melexis.pdf
Mainstream;production;MLX90324LDC-DBO-000;-40 to 150;10 (LP), 13 (MS), 15 (HS);LP:Low Power,MS:Medium Speed,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|PWM|SENT;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90324;https://media.melexis.com/-/media/files/documents/datasheets/MLX90324-datasheet-melexis.pdf
Mainstream;production;MLX90324LGO-DBO-000;-40 to 150;20 (LP), 26 (MS), 30 (HS);LP:Low Power,MS:Medium Speed,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;Analog|PWM|SENT;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90324;https://media.melexis.com/-/media/files/documents/datasheets/MLX90324-datasheet-melexis.pdf
Mainstream;production;MLX90340LGO-AAA-000;-40 to 150;30;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;TSSOP-16;;Analog|PWM;;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340LDC-AAA-000;-40 to 150;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog|PWM;;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EGO-AAA-000;-40 to 85;30;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;TSSOP-16;;Analog|PWM;;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EDC-AAA-000;-40 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog|PWM;;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EDC-AAA-100;-40 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EDC-AAA-200;-40 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EDC-AAA-300;-40 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340EDC-AAA-400;-40 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340SDC-AAA-000;-20 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog|PWM;;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340SDC-AAA-100;-20 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340SDC-AAA-200;-20 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340SDC-AAA-300;-20 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90340SDC-AAA-400;-20 to 85;15;;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;;;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90340;https://media.melexis.com/-/media/files/documents/datasheets/MLX90340-datasheet-melexis.pdf
Mainstream;production;MLX90363EDC-ABB-000;-40 to 85;15.5;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90363EGO-ABB-000;-40 to 85;31;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90363KDC-ABB-000;-40 to 125;15.5;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90363KGO-ABB-000;-40 to 125;31;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90363LDC-ABB-000;-40 to 150;15.5;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;SOIC-8;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90363LGO-ABB-000;-40 to 150;31;;3.3|5;;Hall;On-axis|Off-axis|Joystick|Linear;Angle|FieldComponent;XY|XZ|YZ|XYZ;;;TSSOP-16;;SPI;;20 to 70 (mT);-2400 to 0;✔;QM;;;https://www.melexis.com/MLX90363;https://media.melexis.com/-/media/files/documents/datasheets/MLX90363-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-200;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;Standard straight leads;Analog;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-201;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;STD1 2.54;Analog;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-203;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;STD2 2.54;Analog;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-208;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;STD4 2.54;Analog;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-250;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;Standard straight leads;PWM;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
Mainstream;production;MLX90364LVS-ADB-251;-40 to 150;10 (LP), 12;LP:Low Power;5;;Hall;On-axis|Off-axis|Linear;Angle;XY|XZ|YZ;;;DMP-4;STD1 2.54;PWM;;10 to 70 (mT);-2400 to 0;✔;QM;4-pts anywhere PWL|16/17-pts fixed PWL;;https://www.melexis.com/MLX90364;https://media.melexis.com/-/media/files/documents/datasheets/MLX90364-datasheet-melexis.pdf
